Model,MSE,MAE,R2,MAPE,Explained Variance,Max Error,Training Time,Prediction Time
Random Forest,8.237366052415002,1.4972823500000008,0.9993931765559636,0.029742913867826452,0.99939809711129,28.24279999999996,4.604382276535034,0.0579988956451416
Gradient Boosting,23.728832392616113,3.5271313095106636,0.9982519640739739,0.3306569988155571,0.998254601022914,37.127807298357055,1.4823687076568604,0.0039980411529541016
Decision Tree,25.268923750000003,2.8829949999999998,0.9981385099023768,0.03439954931473467,0.9981417758190755,65.20999999999998,0.09198307991027832,0.0010013580322265625
KNN,290.625045986,11.905039,0.9785904753769252,0.7108063134829063,0.9785937143602583,135.70799999999997,0.043611764907836914,0.055988311767578125
Linear Regression,1098.076408525061,22.370287556357297,0.9191078187133698,1.3750853359495996,0.9191413280795919,190.54631778046974,0.0039980411529541016,0.0
SVR,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,303.955043181979,2.910677433013916,1.6027991771697998
