Model,MSE,MAE,R2,MAPE,Explained Variance,Training Time,Prediction Time
Linear Regression,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,2.9072375297546387,1.7187860012054443
Decision Tree,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,2.9072375297546387,1.7187860012054443
Random Forest,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,2.9072375297546387,1.7187860012054443
Gradient Boosting,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,2.9072375297546387,1.7187860012054443
KNN,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,2.9072375297546387,1.7187860012054443
SVR,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,2.9072375297546387,1.7187860012054443
