Model,MSE,MAE,R2,MAPE,Explained Variance,Max Error,Training Time,Prediction Time
Random Forest,8.237366052415002,1.4972823500000008,0.9993931765559636,0.029742913867826452,0.99939809711129,28.24279999999996,4.54203200340271,0.056336164474487305
Gradient Boosting,23.728832392616102,3.5271313095106627,0.9982519640739739,0.33065699881555777,0.998254601022914,37.127807298357,1.917269229888916,0.004034996032714844
Decision Tree,25.763215549999995,2.8929749999999994,0.9981020968243945,0.03820630561219681,0.9981059349093604,65.20999999999998,0.07827639579772949,0.001001596450805664
KNN,290.625045986,11.905039,0.9785904753769252,0.7108063134829063,0.9785937143602583,135.70799999999997,0.020999431610107422,0.05099940299987793
Linear Regression,1098.076408525061,22.370287556357297,0.9191078187133698,1.3750853359495996,0.9191413280795919,190.54631778046974,0.0046672821044921875,0.0010075569152832031
SVR,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,303.955043181979,2.78232741355896,1.6773254871368408
