Model,MSE,MAE,R2,MAPE,Explained Variance,Max Error,Training Time,Prediction Time
Random Forest,8.237366052415002,1.4972823500000008,0.9993931765559636,0.029742913867826452,0.99939809711129,28.24279999999996,4.528758525848389,0.05600285530090332
Gradient Boosting,23.72883239261606,3.527131309510661,0.9982519640739739,0.33065699881555727,0.998254601022914,37.12780729835697,1.49070405960083,0.0039997100830078125
Decision Tree,24.6072964,2.8531099999999996,0.9981872501167416,0.034589882561161786,0.9981898388732916,63.46999999999997,0.09203624725341797,0.0009982585906982422
KNN,290.625045986,11.905039,0.9785904753769252,0.7108063134829063,0.9785937143602583,135.70799999999997,0.026009321212768555,0.056514739990234375
Linear Regression,1098.076408525061,22.370287556357297,0.9191078187133698,1.3750853359495996,0.9191413280795919,190.54631778046974,0.003000497817993164,0.0009624958038330078
SVR,1184.8282772728774,16.34389143973698,0.9127170540641881,0.66174830242978,0.9164058615408397,303.955043181979,3.015815019607544,1.6174144744873047
